o,d,count
2号线龙阳路,16号线龙阳路,56
2号线龙阳路,2号线世纪公园,1126
2号线龙阳路,2号线张江高科,830
2号线龙阳路,7号线龙阳路,141
3号线上海南站,1号线上海南站,141
3号线上海南站,3号线石龙路,182
3号线上海火车站,1号线上海火车站,106
3号线上海火车站,3号线中潭路,614
3号线上海火车站,3号线宝山路,486
3号线上海火车站,4号线上海火车站,21
3号线东宝兴路,3号线宝山路,630
3号线东宝兴路,3号线虹口足球场,274
3号线中山公园,2号线中山公园,309
3号线中山公园,3号线延安西路,643
3号线中山公园,3号线金沙江路,334
3号线中山公园,4号线中山公园,9
3号线中潭路,3号线上海火车站,563
3号线中潭路,3号线镇坪路,685
3号线中潭路,4号线中潭路,13
3号线友谊路,3号线宝杨路,72
3号线友谊路,3号线铁力路,14
3号线大柏树,3号线江湾镇,130
3号线大柏树,3号线赤峰路,589
3号线宜山路,3号线漕溪路,183
3号线宜山路,3号线虹桥路,491
3号线宜山路,4号线宜山路,52
3号线宜山路,9号线宜山路,169
3号线宝山路,3号线上海火车站,669
3号线宝山路,3号线东宝兴路,310
3号线宝山路,4号线宝山路,280
3号线宝杨路,3号线友谊路,31
3号线宝杨路,3号线水产路,85
3号线延安西路,3号线中山公园,426
3号线延安西路,3号线虹桥路,485
3号线延安西路,4号线延安西路,24
3号线张华浜,3号线淞发路,128
3号线张华浜,3号线淞滨路,62
3号线曹杨路,11号线曹杨路,187
3号线曹杨路,3号线金沙江路,740
3号线曹杨路,3号线镇坪路,513
3号线曹杨路,4号线曹杨路,6
3号线殷高西路,3号线江湾镇,365
3号线殷高西路,3号线长江南路,99
3号线水产路,3号线宝杨路,41
3号线水产路,3号线淞滨路,106
3号线江杨北路,3号线铁力路,35
3号线江湾镇,3号线大柏树,509
3号线江湾镇,3号线殷高西路,110
3号线淞发路,3号线张华浜,66
3号线淞发路,3号线长江南路,150
3号线淞滨路,3号线张华浜,121
3号线淞滨路,3号线水产路,53
3号线漕溪路,3号线宜山路,333
3号线漕溪路,3号线龙漕路,110
3号线石龙路,3号线上海南站,49
3号线石龙路,3号线龙漕路,257
3号线虹口足球场,3号线东宝兴路,619
3号线虹口足球场,3号线赤峰路,238
3号线虹口足球场,8号线虹口足球场,199
3号线虹桥路,10号线虹桥路,85
3号线虹桥路,3号线宜山路,381
3号线虹桥路,3号线延安西路,469
3号线虹桥路,4号线虹桥路,16
3号线赤峰路,3号线大柏树,213
3号线赤峰路,3号线虹口足球场,638
3号线金沙江路,13号线金沙江路,146
3号线金沙江路,3号线中山公园,787
3号线金沙江路,3号线曹杨路,349
3号线金沙江路,4号线金沙江路,8
